ds_name,algo_name,hc_cat_encoder,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,Recall,0.625,TargetEncoder,0.6303013392857143,0.9915891987605134
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,F1,0.6490872210953347,TargetEncoder,0.6555426581543818,0.9901525293911126
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,Aver_precision,0.5136627599768598,TargetEncoder,0.5208516276275931,0.9861978589114188
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,Balanced_accuracy,0.7638054476465805,TargetEncoder,0.7677660820559026,0.9948413527220212
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,train_time(s),0.2025446891784668,TargetEncoder,0.2025558948516845,0.9999446786121632
Adult,DT,mhe+te,8.0,DT_Adult_native-country_2_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,2.0,TargetEncoder,pred_time(s),0.0018773078918457,TargetEncoder,0.001904010772705,0.985975457049876
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,AUC,0.7612036899191318,TargetEncoder,0.7601598561641605,1.0013731766371334
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,Accuracy,0.8388043404081076,TargetEncoder,0.8364839964512386,1.0027739251040222
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,Precision,0.6849793585265164,TargetEncoder,0.6771061697463201,1.0116277020236664
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,Recall,0.6115679047349022,TargetEncoder,0.6129855401190814,0.9976873265494912
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,F1,0.64619532654284,TargetEncoder,0.6434523809523809,1.0042628571618606
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,Aver_precision,0.5124076034604365,TargetEncoder,0.5082112765071471,1.008257052031844
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,Balanced_accuracy,0.7612036899191319,TargetEncoder,0.7601598561641605,1.0013731766371334
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,train_time(s),0.2025766372680664,TargetEncoder,0.2015130519866943,1.0052779969877204
Adult,DT,mhe+te,8.0,DT_Adult_native-country_3_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,3.0,TargetEncoder,pred_time(s),0.001875877380371,TargetEncoder,0.0029327869415283,0.6396227948946965
